track_name,artists,id,genre,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Falling,Lina Mayer,2wYHz0GOHV49Xezd5mWTDP,Pop,0.032,0.447,201385,0.594,0,5,0.111,-5.996,1,0.045,164.05,0.521
no tears left to cry,Ariana Grande,5SxkdsY1ufZzoq9iXceLw9,Pop,0.038,0.703,205947,0.696,0,0,0.274,-5.482,1,0.053,121.969,0.366
The Middle,"Zedd, Maren Morris, Grey",2ARqIya5NAuvFVHSN3bL0m,Pop,0.208,0.748,184732,0.652,0,7,0.128,-3.02,1,0.058,106.914,0.431
Never Be the Same - Radio Edit,Camila Cabello,0BlY60NrN0fFWbdW3RW40q,Pop,0.156,0.652,227077,0.682,0,0,0.121,-4.38,1,0.079,129.942,0.269
Meant to Be (feat. Florida Georgia Line),"Bebe Rexha, Florida Georgia Line",7iDa6hUg2VgEL1o1HjmfBn,Pop,0.047,0.643,163870,0.783,0,10,0.083,-6.458,1,0.086,154.084,0.579
Finesse (Remix) [feat. Cardi B],"Bruno Mars, Cardi B",3Vo4wInECJQuz9BIBMOu8i,Pop,0.019,0.704,217289,0.859,0,5,0.022,-4.877,0,0.1,105.115,0.926
Pray For Me (with Kendrick Lamar),"The Weeknd, Kendrick Lamar",4ofvoCdXq99vpMZO4Cfp8x,Pop,0.081,0.728,211440,0.668,0,2,0.102,-5.02,1,0.126,100.537,0.162
God's Plan,Drake,6T8cJz5lAqGer9GUHGyelE,Pop,0.028,0.755,198960,0.448,0,7,0.514,-9.587,1,0.107,77.179,0.318
Him & I (with Halsey),"G-Eazy, Halsey",3YU6vJbjYUG0tiJyXf9x5V,Pop,0.053,0.589,268867,0.731,0,2,0.308,-6.343,1,0.087,87.908,0.191
Let You Down,NF,6mrKP2jyIQmM0rw6fQryjr,Pop,0.33,0.659,212120,0.716,0,5,0.173,-5.673,0,0.111,148.015,0.437
New Rules,Dua Lipa,2ekn2ttSfGqwhhate0LSR0,Pop,0.003,0.762,209320,0.7,0,9,0.153,-6.021,0,0.069,116.073,0.608
Perfect,Ed Sheeran,0tgVpDi06FyKpA1z0VMD4v,Pop,0.163,0.599,263400,0.448,0,8,0.106,-6.312,1,0.023,95.05,0.168
Whatever It Takes,Imagine Dragons,4IWAyPf1KMq7JCyGeCjTeH,Pop,0.043,0.675,201240,0.649,0,1,0.128,-4.953,1,0.032,134.955,0.537
Wait,Maroon 5,1Qg9jWGDkKAGZXj5v2OG59,Pop,0.089,0.659,190643,0.604,0,8,0.105,-5.084,1,0.054,126.135,0.407
Mine,Bazzi,6tHWl8ows5JOZq9Yfaqn3M,Pop,0.014,0.716,133995,0.805,0,4,0.291,-3.839,1,0.086,142.886,0.719
FRIENDS,"Marshmello, Anne-Marie",08bNPGLD8AhKpnnERrAc6G,Pop,0.205,0.626,202621,0.88,0,9,0.128,-2.384,0,0.05,95.079,0.534
In My Blood,Shawn Mendes,79jX8RM5CgPqDKdGEKNW9K,Pop,0.052,0.628,211600,0.715,0,5,0.119,-7.097,1,0.054,139.991,0.429
Say Something,"Justin Timberlake, Chris Stapleton",1LhMopPAallLeaeNutqbgS,Pop,0.103,0.707,278893,0.632,0,10,0.084,-7.031,1,0.079,97.04,0.372
NO EXCUSES,Meghan Trainor,7fCNUWi6uflDTQ08srxMZk,Pop,0.022,0.827,152862,0.658,0,6,0.042,-3.846,1,0.052,115.016,0.523
I Like Me Better,Lauv,1wjzFQodRWrPcQ0AnYnvQ9,Pop,0.535,0.752,197437,0.505,0,9,0.104,-7.621,1,0.253,91.97,0.419
All The Stars (with SZA),"Kendrick Lamar, SZA",12SJpYZEdj4kzWZ8FPFg4Y,Pop,0.032,0.715,235540,0.62,0.014,5,0.088,-5.428,0,0.051,96.812,0.456
Tell Me You Love Me,Demi Lovato,5Htb1uFQ1KrkFXlefS8oGj,Pop,0.025,0.516,236987,0.592,0,3,0.181,-5.465,0,0.057,82.05,0.271
Psycho (feat. Ty Dolla $ign),"Post Malone, Ty Dolla $ign",7wrDRQgHlvDnimrRHfQZxt,Pop,0.59,0.748,220880,0.546,0,8,0.112,-8.134,1,0.106,140.005,0.413
IDGAF,Dua Lipa,5BG3hnp2SmFmoBIs3YTqsm,Pop,0.04,0.836,217947,0.544,0,7,0.082,-5.975,1,0.094,97.028,0.51
Want You Back,5 Seconds of Summer,2Pvr8rYuh5J8V7QglJhH6W,Pop,0.007,0.608,173073,0.873,0,0,0.196,-4.928,1,0.042,98.009,0.589
Delicate,Taylor Swift,7CneiDesUKFJO3Ix01dnfr,Pop,0.216,0.75,232253,0.404,0,9,0.091,-10.178,0,0.068,95.045,0.05
On The Loose,Niall Horan,4kVo85bcmBkvMBcJl42XCA,Pop,0.007,0.721,223814,0.613,0,11,0.125,-7.051,0,0.033,124.012,0.665
Alone (Feat. Big Sean & Stefflon Don),"Halsey, Big Sean, Stefflon Don",3tbNT2X5tfMIVeUflYbZUZ,Pop,0.016,0.445,207458,0.662,0,2,0.219,-4.802,0,0.181,200.04,0.479
No Roots,Alice Merton,7anBA0IdgFaN3Pbyk2tog0,Pop,0.264,0.863,235813,0.657,0.006,7,0.071,-7.295,1,0.105,115.958,0.829
Sit Next to Me - Radio Edit,Foster The People,3E5NUvTLszM8uymKQ227MP,Pop,0.087,0.678,202600,0.747,0,6,0.147,-5.416,0,0.029,97.004,0.815
Trust Fund Baby,Why Don't We,54j7EaJPDmSZYcNYvLSJ78,Pop,0.063,0.624,184460,0.785,0,8,0.135,-3.337,1,0.05,163.929,0.593
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",7ef4DlsgrMEH11cDZd32M6,Pop,0.037,0.791,214847,0.862,0,9,0.081,-3.24,0,0.11,123.994,0.592
Done For Me (feat. Kehlani),"Charlie Puth, Kehlani",76S09sHj7GGMJAtOLjmVQ2,Pop,0.193,0.856,180493,0.632,0,6,0.069,-3.692,0,0.074,112.009,0.697
Everyday,"Logic, Marshmello",6zOhgKfbMiQWToE6K13s2s,Pop,0.043,0.675,204827,0.748,0,1,0.079,-3.947,1,0.039,149.923,0.469
Everybody Hates Me,The Chainsmokers,3pIigjAWkzwAonXpJ1fmSF,Pop,0.008,0.471,224027,0.755,0,11,0.368,-6.612,0,0.046,154.801,0.512
Merengue,Kent Jones,3EypXSP7JVjtusvnBtAIBo,Pop,0.47,0.717,191032,0.864,0,1,0.147,-3.231,1,0.216,112.97,0.738
Stir Fry,Migos,2tek8UnoiJdkmpPMqa5KRQ,Pop,0.003,0.814,190288,0.819,0,2,0.133,-5.48,1,0.251,181.958,0.517
Love Lies (with Normani),"Khalid, Normani",45Egmo7icyopuzJN0oMEdk,Pop,0.096,0.708,201707,0.648,0,6,0.134,-5.626,1,0.045,143.955,0.338
Sober Up,"AJR, Rivers Cuomo",7bXvOMQ3UrcTS1dO9Ppzsg,Pop,0.277,0.647,218760,0.616,0,5,0.082,-4.948,1,0.027,93.019,0.79
Sober,"G-Eazy, Charlie Puth",0GOJobsbOSIF99y6CGr5o6,Pop,0.263,0.558,203960,0.766,0,6,0.32,-5.953,0,0.231,96.281,0.182
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental, Jess Glynne, Macklemore, Dan Caplen",5CLGzJsGqhCEECcpnFQA8x,Pop,0.194,0.653,210773,0.809,0,0,0.165,-4.057,1,0.047,92.213,0.55
Tattoo (How 'Bout You),In Real Life,76bAIHM7qJk1iMDM4WbWoI,Pop,0.196,0.865,229295,0.591,0,0,0.078,-6.039,1,0.237,109.03,0.597
Hearts Ain't Gonna Lie (with Jonas Blue),"Arlissa, Jonas Blue",1bfPwJtmZdqv6MPY5Wr7eH,Pop,0.086,0.438,201264,0.731,0,6,0.13,-4.566,0,0.06,92.958,0.466
Not A Love Song,bülow,0olvO9l53TxK1j0v4wrC5y,Pop,0.14,0.737,192293,0.523,0,7,0.127,-10.25,1,0.07,91.993,0.305
