quadrant,track_name,id,genre,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
"e>=0.5, v>0.5",Esskeetit,44KKhCyI0BGS6LvVyDqJtH,Rap,0.022,0.932,181714,0.506,0.000,11,0.093,-7.755,1,0.161,139.974,0.696
"e>=0.5, v>0.5",Rude (Instrumental Version),3MRrI9xd9mkxLFWCFcwmAb,Acoustic,0.942,0.717,221751,0.518,0.850,1,0.139,-6.539,1,0.045,143.779,0.627
"e>=0.5, v>0.5",Closer,7BKLCZ1jbUBVqRi2FVlTVw,Pop,0.414,0.748,244960,0.524,0.000,8,0.111,-5.599,1,0.034,95.010,0.661
"e>=0.5, v>0.5",It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Pop,0.119,0.640,220781,0.533,0.000,0,0.086,-6.596,1,0.071,99.968,0.515
"e>=0.5, v>0.5",Maps (Instrumental Version),3CK264UGtEvPpbvVEadVIP,Acoustic,0.981,0.736,190573,0.534,0.866,1,0.198,-7.926,0,0.071,119.950,0.696
"e>=0.5, v>0.5",IDGAF,5BG3hnp2SmFmoBIs3YTqsm,Pop,0.040,0.836,217947,0.544,0.000,7,0.082,-5.975,1,0.094,97.028,0.510
"e>=0.5, v>0.5",Heaven,1HXy5I3HTWq8OvxCn0z7G7,Country,0.263,0.677,179507,0.556,0.000,9,0.105,-6.544,1,0.031,80.009,0.521
"e>=0.5, v>0.5",That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Pop,0.013,0.853,206693,0.560,0.000,1,0.094,-4.961,1,0.041,134.066,0.860
"e>=0.5, v>0.5",How Long,32DGGj6KlNuBr6WaqRxpxi,Pop,0.189,0.849,198237,0.581,0.000,1,0.081,-5.243,0,0.077,110.008,0.779
"e>=0.5, v>0.5",Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,Rap,0.001,0.922,181263,0.581,0.000,10,0.105,-7.495,1,0.270,140.022,0.595
"e>=0.5, v>0.5",2 Vaults (feat. Lil Yachty),0KmgnnbSO6Iqye27Rdtv13,Rap,0.264,0.921,210000,0.586,0.000,8,0.119,-7.770,1,0.406,96.042,0.657
"e>=0.5, v>0.5",Tattoo (How 'Bout You),76bAIHM7qJk1iMDM4WbWoI,Pop,0.196,0.865,229295,0.591,0.000,0,0.078,-6.039,1,0.237,109.030,0.597
"e>=0.5, v>0.5",Falling,2wYHz0GOHV49Xezd5mWTDP,Pop,0.032,0.447,201385,0.594,0.000,5,0.111,-5.996,1,0.045,164.050,0.521
"e>=0.5, v>0.5",Tequila,7Il2yWQmsqKgSkLQvHTPUI,Country,0.029,0.474,195987,0.594,0.000,11,0.133,-5.756,1,0.029,86.131,0.503
"e>=0.5, v>0.5",Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ,Pop,0.147,0.755,216632,0.599,0.000,8,0.109,-5.042,1,0.224,133.123,0.755
"e>=0.5, v>0.5",Come Together,0pMBUD69Fl5Yxa9X9oV3qc,Acoustic,0.024,0.685,338560,0.608,0.838,4,0.082,-7.360,1,0.063,168.367,0.606
"e>=0.5, v>0.5",On The Loose,4kVo85bcmBkvMBcJl42XCA,Pop,0.007,0.721,223814,0.613,0.000,11,0.125,-7.051,0,0.033,124.012,0.665
"e>=0.5, v>0.5",We Don't Luv Em (Remix),2Y43TDqgnRgVZA7RxtxEV1,Rap,0.293,0.896,193776,0.615,0.000,6,0.122,-9.326,0,0.326,140.040,0.890
"e>=0.5, v>0.5",Sober Up,7bXvOMQ3UrcTS1dO9Ppzsg,Pop,0.277,0.647,218760,0.616,0.000,5,0.082,-4.948,1,0.027,93.019,0.790
"e>=0.5, v>0.5",What If I Go? (feat. Bonzai),3LjEaWzh33DiR8MtrVbJnI,EDM,0.375,0.487,200550,0.623,0.000,7,0.308,-7.388,1,0.464,200.155,0.894
"e>=0.5, v>0.5","Speakers, Bleachers And Preachers",0Is6MRHWKe7y2xIxDkvO6l,Country,0.302,0.603,192920,0.625,0.000,6,0.141,-6.563,1,0.026,96.020,0.651
"e>=0.5, v>0.5",Look At You,7AK5vh1cRnO3YxAjOjL4Yy,Country,0.042,0.687,195418,0.625,0.000,1,0.151,-6.942,0,0.028,104.027,0.866
"e>=0.5, v>0.5",Attention,4iLqG9SeJSnt0cSPICSjxv,Pop,0.097,0.774,211475,0.626,0.000,3,0.085,-4.432,0,0.043,100.041,0.777
"e>=0.5, v>0.5",Done For Me (feat. Kehlani),76S09sHj7GGMJAtOLjmVQ2,Pop,0.193,0.856,180493,0.632,0.000,6,0.069,-3.692,0,0.074,112.009,0.697
"e>=0.5, v>0.5",Sorry Not Sorry,25C5CowdsfXld2jJanbiex,Pop,0.025,0.701,203760,0.638,0.000,11,0.256,-6.889,0,0.238,144.084,0.868
"e>=0.5, v>0.5",1942,794QVQtFNy7hvtjQP1keQd,Rap,0.015,0.817,213080,0.646,0.000,4,0.125,-5.120,0,0.249,162.898,0.835
"e>=0.5, v>0.5",420 Freestyle,3gbN8NCqagIB9JO567Nw5C,Rap,0.006,0.923,215172,0.647,0.000,5,0.086,-5.690,0,0.072,145.006,0.536
"e>=0.5, v>0.5",Whatever It Takes,4IWAyPf1KMq7JCyGeCjTeH,Pop,0.043,0.675,201240,0.649,0.000,1,0.128,-4.953,1,0.032,134.955,0.537
"e>=0.5, v>0.5",Something Just Like This,1dNIEtp7AY3oDAKCGg2XkH,Pop,0.031,0.607,247627,0.649,0.000,11,0.174,-6.695,0,0.036,102.996,0.505
"e>=0.5, v>0.5",Shape of You,0FE9t6xYkqWXU2ahLh6D8X,Pop,0.581,0.825,233713,0.652,0.000,1,0.093,-3.183,0,0.080,95.977,0.931
"e>=0.5, v>0.5",No Roots,7anBA0IdgFaN3Pbyk2tog0,Pop,0.264,0.863,235813,0.657,0.006,7,0.071,-7.295,1,0.105,115.958,0.829
"e>=0.5, v>0.5",NO EXCUSES,7fCNUWi6uflDTQ08srxMZk,Pop,0.022,0.827,152862,0.658,0.000,6,0.042,-3.846,1,0.052,115.016,0.523
"e>=0.5, v>0.5",All On Me,2Nc8Imt04W3ZmcBF8dPQKc,Country,0.144,0.631,227573,0.658,0.000,5,0.220,-5.313,1,0.028,80.996,0.700
"e>=0.5, v>0.5",Coming Over,6m3ZWIXhjoV76syT1j2oE9,EDM,0.227,0.631,178333,0.661,0.000,5,0.166,-5.500,0,0.100,174.031,0.698
"e>=0.5, v>0.5",Weekend - Jai Wolf Remix,56uve6ghEMpAuEF5QTlTs2,EDM,0.279,0.750,249161,0.664,0.000,0,0.110,-7.771,1,0.046,140.055,0.595
"e>=0.5, v>0.5",The Screen,3c1E6jJ5G8tfNP4dckfLqb,Metal,0.013,0.615,589833,0.666,0.102,2,0.076,-6.750,0,0.036,126.153,0.531
"e>=0.5, v>0.5",No Promises (feat. Demi Lovato),1louJpMmzEicAn7lzDalPW,Pop,0.058,0.741,223504,0.667,0.000,10,0.106,-5.445,1,0.134,112.956,0.595
"e>=0.5, v>0.5","I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",72Q0FQQo32KJloivv5xge2,Pop,0.053,0.599,288877,0.667,0.000,7,0.134,-4.267,1,0.037,80.984,0.817
"e>=0.5, v>0.5",JAPAN,4lTiuD1DwBKo4L7wqMkD7C,Rap,0.121,0.733,144149,0.678,0.000,6,0.345,-7.771,1,0.439,175.984,0.841
"e>=0.5, v>0.5",She Ain't in It,1Be8liECvEP5NYZjYvukbI,Country,0.123,0.560,198467,0.679,0.000,5,0.224,-4.527,1,0.024,92.928,0.622
"e>=0.5, v>0.5",Wild Thoughts (feat. Rihanna & Bryson Tiller),4IIUaKqGMElZ3rGtuvYlNc,Pop,0.029,0.613,204664,0.681,0.000,8,0.126,-3.089,1,0.078,97.621,0.619
"e>=0.5, v>0.5",Kiss Somebody,1mJMD1VIQ7jWTP9DK2zmY0,Country,0.143,0.492,212445,0.681,0.000,6,0.199,-7.038,1,0.075,178.010,0.511
